id,adhyaya,pada,sutra_number,sutra_text,adhikarana
136,2,1,1,ॐ स्मृत्यनवकाशदोषप्रसङ्ग इति चेन्नान्यस्मृत्यनवकाशदोषप्रसङ्गात् ॐ,स्मृत्यधिकरणम्
137,2,1,2,ॐ इतरेषां चानुपलब्धेः ॐ,स्मृत्यधिकरणम्
138,2,1,3,ॐ एतेन योगः प्रत्युक्तः ॐ,स्मृत्यधिकरणम्
139,2,1,4,ॐ न विलक्षणत्वादस्य तथात्वं च शब्दात् ॐ,नविलक्षणत्वाधिकरणम्
140,2,1,5,ॐ दृश्यते तु ॐ,नविलक्षणत्वाधिकरणम्
141,2,1,6,ॐ अभिमानिव्यपदेशस्तु विशेषानुगतिभ्याम् ॐ,अभिमान्यधिकरणम्
142,2,1,7,ॐ दृश्यते च ॐ,अभिमान्यधिकरणम्
143,2,1,8,ॐ असदिति चेन्न प्रतिषेधमात्रत्वात् ॐ,असदधिकरणम्
144,2,1,9,ॐ अपीतौ तद्वत्प्रसङ्गादसमञ्जसम् ॐ,असदधिकरणम्
145,2,1,10,ॐ न तु दृष्टान्तभावात् ॐ,असदधिकरणम्
146,2,1,11,ॐ स्वपक्षदोषाच्च ॐ,असदधिकरणम्
147,2,1,12,ॐ तर्काप्रतिष्ठानादप्यन्यथाऽनुमेयमिति चेदेवमप्यनिर्मोक्षप्रसङ्गः ॐ,असदधिकरणम्
148,2,1,13,ॐ एतेन शिष्टापरिग्रहा अपि व्याख्याताः ॐ,असदधिकरणम्
149,2,1,14,ॐ भोक्त्रापत्तेरविभागश्चेत् स्याल्लोकवत् ॐ,भोक्त्राधिकरणम्
150,2,1,15,ॐ तदनन्यत्वमारम्भणशब्दादिभ्यः ॐ,आरम्भणाधिकरणम्
151,2,1,16,ॐ भावे चोपलब्देः ॐ,आरम्भणाधिकरणम्
152,2,1,17,ॐ सत्वाच्चावरस्य ॐ,आरम्भणाधिकरणम्
153,2,1,18,ॐ असद्व्यपदेशान्नेति चेन्न धर्मान्तरेण वाक्यशेषात् ॐ,आरम्भणाधिकरणम्
154,2,1,19,ॐ युक्तेः शब्दान्तराच्च ॐ,आरम्भणाधिकरणम्
155,2,1,20,ॐ पटवच्च ॐ,आरम्भणाधिकरणम्
156,2,1,21,ॐ यथा प्राणादिः ॐ,आरम्भणाधिकरणम्
157,2,1,22,ॐ इतरव्यपदेशाद्धिताकरणादिदोषप्रसक्तिः ॐ,इतरव्यपदेशाधिकरणम्
158,2,1,23,ॐ अधिकं तु भेदनिर्देशात् ॐ,इतरव्यपदेशाधिकरणम्
159,2,1,24,ॐ अश्मादिवच्च तदनुपपत्तिः ॐ,इतरव्यपदेशाधिकरणम्
160,2,1,25,ॐ उपसंहारदर्शनान्नेति चेन्न क्षीरवद्धि ॐ,इतरव्यपदेशाधिकरणम्
161,2,1,26,ॐ देवादिवदपि लोके ॐ,इतरव्यपदेशाधिकरणम्
162,2,1,27,ॐ कृत्स्नप्रसक्तिर्निरवयवत्वशब्दकोपो वा ॐ,इतरव्यपदेशाधिकरणम्
163,2,1,28,ॐ श्रुतेस्तुशब्दमूलत्वात् ॐ,शब्दमूलत्वाधिकरणम्
164,2,1,29,ॐ आत्मनि चैवं विचित्राश्च हि ॐ,शब्दमूलत्वाधिकरणम्
165,2,1,30,ॐ स्वपक्षदोषाच्च ॐ,शब्दमूलत्वाधिकरणम्
166,2,1,31,ॐ सर्वोपेता च तद्दर्शनात् ॐ,शब्दमूलत्वाधिकरणम्
167,2,1,32,ॐ विकरणत्वान्नेति चेत् तदुक्तम् ॐ,शब्दमूलत्वाधिकरणम्
168,2,1,33,ॐ न प्रयोजनवत्त्वात् ॐ,नप्रयोजनाधिकरणम्
169,2,1,34,ॐ लोकवत्तुलीलाकैवल्यम् ॐ,नप्रयोजनाधिकरणम्
170,2,1,35,ॐ वैषम्यनैर्घृण्ये न सापेक्षत्वात् तथा हि दर्शयति ॐ,वैषम्यनैर्घृण्याधिकरणम्
171,2,1,36,ॐ न कर्माविभागादिति चेन्नानादित्वात् ॐ,वैषम्यनैर्घृण्याधिकरणम्
172,2,1,37,ॐ उपपद्यते चाप्युपलभ्यते च ॐ,वैषम्यनैर्घृण्याधिकरणम्
