Phase,Phase_Description,Module_Code,Module_Friendly_Name,Module_File,Method,Endpoint_Path,Endpoint_Name_Friendly,Handler_Function
System,System Endpoints,System,Service Health Check,main.py,GET,/astro/health,Health,health
Phase 0,Foundation (Day 0 - May 15),Doshas,All Doshas Combined,main.py,POST,/astro/doshas,Doshas,doshas
Phase 0,Foundation (Day 0 - May 15),Muhurtha (legacy),Auspicious Time - Legacy,main.py,POST,/astro/muhurtha,Muhurtha,muhurtha
Phase 0,Foundation (Day 0 - May 15),Core Charting,Birth Chart,main.py,POST,/astro/chart,Chart,natal_chart
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career,Career,career
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/d10_deep_dive,D10 Deep Dive,career_d10_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/karaka_analysis,Karaka Analysis,career_karaka_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/natural_fields,Natural Fields,career_fields_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/professional_dasha,Professional Dasha,career_dasha_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/profile,Profile,career_profile_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/timing,Timing,career_timing_ep
Phase 0,Foundation (Day 0 - May 15),Ashtakavarga,Cumulative Strength (Ashtakavarga),main.py,POST,/astro/ashtakavarga,Ashtakavarga,ashtakavarga
Phase 0,Foundation (Day 0 - May 15),Divisional Charts,Divisional Charts (D-charts),main.py,POST,/astro/divisional/{div},Divisional,divisional
Phase 0,Foundation (Day 0 - May 15),Jaimini,Karaka System (Jaimini),main.py,POST,/astro/jaimini,Jaimini,jaimini
Phase 0,Foundation (Day 0 - May 15),Lal Kitab,Lal Kitab System,lal_kitab.py,POST,/astro/lalkitab,Lalkitab,lalkitab
Phase 0,Foundation (Day 0 - May 15),Manglik,Mars Dosha (Manglik),main.py,POST,/astro/manglik,Manglik,manglik
Phase 0,Foundation (Day 0 - May 15),Compatibility,Match-making (Compatibility - legacy),main.py,POST,/astro/compatibility,Compatibility,compatibility
Phase 0,Foundation (Day 0 - May 15),Special,Misc Classical Checks,main.py,POST,/astro/special,Special,special
Phase 0,Foundation (Day 0 - May 15),Core Charting,Planet Positions,main.py,POST,/astro/planets,Planets,planets
Phase 0,Foundation (Day 0 - May 15),Planetary Strength,Planet Strength (Shadbala),main.py,POST,/astro/shadbala,Shadbala,shadbala
Phase 0,Foundation (Day 0 - May 15),Sade Sati,Saturn 7.5 Years (Sade Sati),main.py,POST,/astro/sadesati,Sadesati,sadesati
Phase 0,Foundation (Day 0 - May 15),Dasha Periods,Time Period Predictions (Dasha),main.py,POST,/astro/dasha,Dasha,dasha
Phase 0,Foundation (Day 0 - May 15),Dasha Periods,Time Period Predictions (Dasha),main.py,POST,/astro/dasha/current,Current,dasha_current
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta,Muhurta,muhurta_full
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/abhijit,Abhijit,muhurta_abhijit
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/choghadiya,Choghadiya,muhurta_choghadiya
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/hora,Hora,muhurta_hora
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/rahukaal,Rahukaal,muhurta_rahukaal
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra,Nakshatra,nakshatra_full
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra/all_planets,All Planets,nakshatra_all_planets
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra/compatibility,Compatibility,nakshatra_compatibility
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra/compatibility_from_birth,Compatibility From Birth,nakshatra_compatibility_from_birth
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra/janma,Janma,nakshatra_janma
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,GET,/astro/nakshatra/static/{name},Static,nakshatra_static
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra/tara,Tara,nakshatra_tara
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/bagua_home,Bagua Home,fengshui_bagua_home
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/compatibility,Compatibility,fengshui_compatibility_endpoint
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/directions,Directions,fengshui_directions
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/elements,Elements,fengshui_elements
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/flying_stars,Flying Stars,fengshui_flying_stars
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/kua,Kua,fengshui_kua
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/loshu,Loshu,fengshui_loshu
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/profile,Profile,fengshui_profile
Phase A,Phase A - Specialty (May 16 AM),Feng Shui,Chinese Astrology (Feng Shui),feng_shui.py,POST,/astro/fengshui/year_outlook,Year Outlook,fengshui_year_outlook
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/by_purpose,By Purpose,remedies_master_by_purpose
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/atharva/abhichar_nullifier,Abhichar Nullifier,esoteric_atharva_nullifier
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/atharva/by_purpose,By Purpose,esoteric_atharva_by_purpose
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/atharva/healing_hymns,Healing Hymns,esoteric_atharva_healing
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/atharva/peace_invocations,Peace Invocations,esoteric_atharva_peace
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/atharva/protection_hymns,Protection Hymns,esoteric_atharva_protection
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/hellenic/decan_ruler,Decan Ruler,esoteric_decan_ruler
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/hellenic/planetary_deities,Planetary Deities,esoteric_planetary_deities
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/hellenic/time_lord,Time Lord,esoteric_time_lord
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/kabbalistic/divine_names,Divine Names,esoteric_divine_names
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/kabbalistic/paths,Paths,esoteric_kabbalistic_paths
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/kabbalistic/sephirot_for_chart,Sephirot For Chart,esoteric_sephirot_chart
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/kabbalistic/tree_of_life,Tree Of Life,esoteric_tree_of_life
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/solomonic/goetia,Goetia,esoteric_goetia
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/solomonic/olympic_spirits,Olympic Spirits,esoteric_olympic_spirits
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/solomonic/planetary_hours,Planetary Hours,esoteric_planetary_hours
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/solomonic/planetary_squares,Planetary Squares,esoteric_planetary_squares
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/solomonic/talismans,Talismans,esoteric_talismans
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/tantric/dasha_mahavidya,Dasha Mahavidya,esoteric_dasha_mahavidya
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/tantric/devi_for_purpose,Devi For Purpose,esoteric_devi_purpose
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/tantric/kavachas,Kavachas,esoteric_kavachas
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/tantric/navadurga,Navadurga,esoteric_navadurga
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/tantric/personal_mahavidya,Personal Mahavidya,esoteric_personal_mahavidya
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/vbt/all_112,All 112,esoteric_vbt_all
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/vbt/awareness_techniques,Awareness Techniques,esoteric_vbt_awareness
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/vbt/breath_techniques,Breath Techniques,esoteric_vbt_breath
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/esoteric/vbt/devotional_practices,Devotional Practices,esoteric_vbt_devotional
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/esoteric/vbt/dharana_for_chart,Dharana For Chart,esoteric_vbt_dharana
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/for_chart,For Chart,remedies_master_for_chart
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,GET,/astro/remedies/full_catalog,Full Catalog,remedies_master_full_catalog
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/numerology/lucky_dates,Lucky Dates,remedies_numerology_lucky_dates
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/numerology/mobile,Mobile,remedies_numerology_mobile
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/numerology/name,Name,remedies_numerology_name
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/numerology/signature,Signature,remedies_numerology_signature
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/numerology/vehicle,Vehicle,remedies_numerology_vehicle
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/therapeutic/aromatherapy,Aromatherapy,remedies_therapeutic_aroma
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/therapeutic/colors,Colors,remedies_therapeutic_colors
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/therapeutic/sound,Sound,remedies_therapeutic_sound
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/vedic/donations,Donations,remedies_vedic_donations
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/vedic/fasting,Fasting,remedies_vedic_fasting
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/vedic/gemstones,Gemstones,remedies_vedic_gemstones
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/vedic/ishta_devata,Ishta Devata,remedies_vedic_ishta_devata
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/vedic/mantras,Mantras,remedies_vedic_mantras
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/vedic/rudrakshas,Rudrakshas,remedies_vedic_rudrakshas
Phase A,Phase A - Remedies (May 16 AM),Remedies,Classical + Esoteric Remedies,remedies.py / remedies_esoteric.py,POST,/astro/remedies/vedic/yantras,Yantras,remedies_vedic_yantras
Phase A,Foundation Numerology v2 (May 15),Numerology v2,Numerology (Advanced),numerology_v2.py,POST,/astro/numerology_v2/compatibility,Compatibility,numv2_compat
Phase A,Foundation Numerology v2 (May 15),Numerology v2,Numerology (Advanced),numerology_v2.py,POST,/astro/numerology_v2/cycles,Cycles,numv2_cycles
Phase A,Foundation Numerology v2 (May 15),Numerology v2,Numerology (Advanced),numerology_v2.py,POST,/astro/numerology_v2/full,Full,numv2_full
Phase A,Foundation Numerology v2 (May 15),Numerology v2,Numerology (Advanced),numerology_v2.py,POST,/astro/numerology_v2/karmic,Karmic,numv2_karmic
Phase A,Foundation Numerology v2 (May 15),Numerology v2,Numerology (Advanced),numerology_v2.py,POST,/astro/numerology_v2/static,Static,numv2_static
Phase A,Foundation Numerology (May 15),Numerology v1,Numerology (Original),numerology.py,POST,/astro/numerology,Numerology,numerology_full
Phase A,Foundation Numerology (May 15),Numerology v1,Numerology (Original),numerology.py,POST,/astro/numerology/chaldean,Chaldean,numerology_chaldean
Phase A,Foundation Numerology (May 15),Numerology v1,Numerology (Original),numerology.py,POST,/astro/numerology/loshu,Loshu,numerology_loshu
Phase A,Foundation Numerology (May 15),Numerology v1,Numerology (Original),numerology.py,POST,/astro/numerology/pythagorean,Pythagorean,numerology_pythagorean
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas,Yogas,yogas
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/active,Active,yogasv2_active
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,GET,/astro/yogas/catalog,Catalog,yogasv2_catalog
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/detect,Detect,yogasv2_detect
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/negative,Negative,yogasv2_negative
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/positive,Positive,yogasv2_positive
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,GET,/astro/yogas/single/{yoga_id},Single,yogasv2_single
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/timeline/10year,10year,yogas_timeline_10year
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/timeline/15year,15year,yogas_timeline_15year
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/timeline/5year,5year,yogas_timeline_5year
Phase A,Foundation Yogas (May 15),Yogas,Special Combinations (Yogas),yogas.py,POST,/astro/yogas/timeline/annual,Annual,yogas_timeline_annual
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/auspicious_construction,Auspicious Construction,vastu_construction
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/business_vastu,Business Vastu,vastu_business_endpoint
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/doshas,Doshas,vastu_doshas_endpoint
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,GET,/astro/vastu/marma_points,Marma Points,vastu_marma_endpoint
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/personal_directions,Personal Directions,vastu_personal_dirs
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/plot_analysis,Plot Analysis,vastu_plot
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/profile,Profile,vastu_profile
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/remedies,Remedies,vastu_remedies_endpoint
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/room_placement,Room Placement,vastu_rooms
Phase A,Phase A - Specialty (May 16 AM),Vastu,Vedic Architecture (Vastu),vastu.py,POST,/astro/vastu/yantra_directions,Yantra Directions,vastu_yantra
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/avoidance_windows,Avoidance Windows,health_avoidance_windows_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/ayurvedic_diet,Ayurvedic Diet,health_diet_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/body_parts,Body Parts,health_body_parts_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/chakra_balancing,Chakra Balancing,health_chakra_balancing_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/chakras,Chakras,health_chakras_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/healing_windows,Healing Windows,health_healing_windows_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/health_remedies,Health Remedies,health_remedies_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/illness_predisposition,Illness Predisposition,health_illness_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/longevity_factors,Longevity Factors,health_longevity_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/mental_health,Mental Health,health_mental_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/prakriti,Prakriti,health_prakriti_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/profile,Profile,health_profile
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/tridosha,Tridosha,health_tridosha_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/vikriti_current,Vikriti Current,health_vikriti_ep
Phase B1,Phase B - Life Areas (May 16),Health,Health & Wellness,health.py,POST,/astro/health/yoga_pranayama,Yoga Pranayama,health_yoga_pranayama_ep
Phase B2,Phase B - Life Areas (May 16),Wealth,Wealth Analysis,career_wealth.py,POST,/astro/wealth/dhana_yogas,Dhana Yogas,wealth_dhana_ep
Phase B2,Phase B - Life Areas (May 16),Wealth,Wealth Analysis,career_wealth.py,POST,/astro/wealth/income_sources,Income Sources,wealth_sources_ep
Phase B2,Phase B - Life Areas (May 16),Wealth,Wealth Analysis,career_wealth.py,POST,/astro/wealth/income_windows,Income Windows,wealth_windows_ep
Phase B2,Phase B - Life Areas (May 16),Wealth,Wealth Analysis,career_wealth.py,POST,/astro/wealth/profile,Profile,wealth_profile_ep
Phase B2,Phase B - Life Areas (May 16),Wealth,Wealth Analysis,career_wealth.py,POST,/astro/wealth/risk_areas,Risk Areas,wealth_risk_ep
Phase B2,Phase B - Life Areas (May 16),Wealth,Wealth Analysis,career_wealth.py,POST,/astro/wealth/wealth_remedies,Wealth Remedies,wealth_remedies_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/aroodha_lagna,Aroodha Lagna,prashna_aroodha_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/kp_horary,Kp Horary,prashna_kp_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/lagna_analysis,Lagna Analysis,prashna_lagna_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/moon_analysis,Moon Analysis,prashna_moon_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/profile,Profile,prashna_profile_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/significator,Significator,prashna_significator_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/specific_query,Specific Query,prashna_specific_ep
Phase B3,Phase B - Life Areas (May 16),Prashna,Horary Question (Prashna),prashna.py,POST,/astro/prashna/swara,Swara,prashna_swara_ep
